T (ÂºC),t (s),P (MPa),v (cm3/mol),dens (g/cm3),visc (mPa.s),Re,Sinker diameter (mm)
0,3128,0.1,204.61,1.3889,1717,0.002,5.9
5,2037,0.1,205.25,1.3846,1119,0.004,5.9
10,1374,0.1,205.89,1.3803,755,0.008,5.9
15,947.8,0.1,206.53,1.376,521,0.016,5.9
20,671.7,0.1,207.17,1.3717,369,0.032,5.9
25,495.3,0.1,207.82,1.3674,273,0.059,5.9
25,492,0.1,207.82,1.3674,271,0.06,5.9
25,598.1,12.1,206.77,1.3744,329,0.041,5.9
25,712.2,24.7,205.75,1.3812,391,0.029,5.9
25,710.3,25.7,205.67,1.3817,390,0.029,5.9
25,996.7,50.6,203.86,1.394,546,0.015,5.9
25,1391,75.8,202.26,1.405,761,0.008,5.9
25,1918,100.3,200.89,1.4146,1047,0.004,5.9
25,2627,125.1,199.66,1.4233,1432,0.002,5.9
25,2679,125.6,199.64,1.4235,1461,0.002,5.9
25,3663,150.3,198.54,1.4313,1995,0.001,5.9
25,4953,174.1,197.59,1.4382,2694,0.001,5.9
30,366.7,0.1,208.47,1.3632,202,0.11,5.9
40,217,0.1,209.73,1.355,120,0.3,5.9
50,133.5,0.1,211.01,1.3468,73.6,0.79,5.9
50,134.3,0.1,211.01,1.3468,74.1,0.79,5.9
50,135.7,1.3,210.89,1.3475,74.9,0.77,5.9
50,139.5,3.1,210.71,1.3487,76.9,0.73,5.9
50,141.8,5.6,210.46,1.3503,78.2,0.71,5.9
50,150,10.7,209.96,1.3535,82.7,0.63,5.9
50,179.8,25.8,208.6,1.3623,98.9,0.44,5.9
50,232.8,50.8,206.58,1.3757,127.8,0.27,5.9
50,316.7,75.8,204.83,1.3874,173.5,0.15,5.9
50,409.6,100.7,203.31,1.3978,224,0.088,5.9
50,514.5,125.5,201.96,1.4071,281,0.057,5.9
50,679.3,150.4,200.77,1.4155,371,0.033,5.9
50,883.1,175.2,199.7,1.4231,481,0.019,5.9
50,1131,200,198.73,1.4299,616,0.012,5.9
50,1442,224.6,197.87,1.4362,784,0.007,5.9
50,1832,249.3,197.08,1.442,995,0.005,5.9
60,88.7,0.1,212.3,1.3386,49,1.8,5.9
60,89.1,0.1,212.3,1.3386,49.2,1.8,5.9
35,478,0.1,209.09,1.3591,158.4,0.13,6.0
35,482,0.9,209.02,1.3596,159.7,0.13,6.0
35,540.8,9.6,208.21,1.3649,179.1,0.1,6.0
35,668.5,25.8,206.83,1.374,221,0.067,6.0
35,914.3,50.3,204.97,1.3864,302,0.036,6.0
35,1252,75.6,203.3,1.3978,412,0.02,6.0
35,1695,100.3,201.86,1.4078,557,0.011,6.0
35,2285,125.2,200.58,1.4168,750,0.006,6.0
35,2737,140.6,199.86,1.4219,898,0.004,6.0
35,3098,151,199.4,1.4252,1016,0.003,6.0
70,105.5,0.1,213.6,1.3304,35.1,2.5,6.0
70,111.9,5.5,213,1.3341,37.2,2.2,6.0
70,118,10.6,212.47,1.3375,39.2,2,6.0
70,137.5,25.7,210.98,1.347,45.6,1.5,6.0
70,175.2,50.6,208.8,1.361,58,0.93,6.0
70,223.4,75.6,206.92,1.3734,73.7,0.58,6.0
70,281.8,100.6,205.28,1.3844,92.9,0.37,6.0
70,353.1,125.4,203.85,1.3941,116.2,0.24,6.0
70,403.3,140.2,203.07,1.3994,132.6,0.18,6.0
70,439.5,149.9,202.59,1.4027,144.4,0.15,6.0
70,536.7,172.9,201.53,1.4101,176.1,0.1,6.0
80,76.7,0.1,214.9,1.3224,25.5,4.7,6.0
80,76.7,0.1,214.9,1.3224,25.5,4.7,6.0
40,4234,0.1,209.73,1.355,120,0.05,6.3
50,2641,0.1,211.01,1.3468,74.9,0.12,6.3
60,1755,0.1,212.29,1.3386,49.9,0.28,6.3
60,1742,0.1,212.29,1.3386,49.5,0.28,6.3
60,1742,0.1,212.29,1.3386,49.5,0.28,6.3
60,1967,10.7,211.21,1.3455,55.8,0.22,6.3
60,2332,26.2,209.74,1.3549,66,0.16,6.3
60,3031,51.1,207.65,1.3685,85.6,0.1,6.3
60,3897,75.7,205.87,1.3804,109.8,0.06,6.3
60,4548,91.1,204.87,1.3871,128,0.04,6.3
60,4955,100.1,204.32,1.3909,139.4,0.04,6.3
70,1219,0.1,213.59,1.3305,34.7,0.57,6.3
70,1217,0.1,213.59,1.3305,34.6,0.57,6.3
